customer_id,recency,frequency,monetary,customer_name,segment,r_score,f_score,m_score,rfm_score,rfm_segment
AA-10315,185,5,5563.56,Alex Avila,Consumer,2,2,5,9,Mid-Value
AA-10375,20,9,1056.39,Allen Armold,Consumer,5,5,2,12,High-Value
AA-10480,260,4,1790.5120000000002,Andrew Allen,Consumer,1,1,3,5,Low-Value
AA-10645,56,6,5086.9349999999995,Anna Andreadi,Consumer,3,3,5,11,High-Value
AB-10015,416,3,886.156,Aaron Bergman,Consumer,1,1,1,3,Low-Value
AB-10060,55,8,7755.62,Adam Bellavance,Home Office,3,4,5,12,High-Value
AB-10105,42,10,14473.570999999998,Adrian Barton,Consumer,4,5,5,14,Top Customers
AB-10150,42,5,966.71,Aimee Bixby,Consumer,4,2,2,8,Mid-Value
AB-10165,26,8,1113.838,Alan Barnes,Consumer,5,4,2,11,High-Value
AB-10255,167,9,914.5319999999999,Alejandro Ballentine,Home Office,2,5,1,8,Mid-Value
AB-10600,51,4,1515.862,Ann Blume,Corporate,4,1,2,7,Mid-Value
AC-10420,233,3,925.8,Alyssa Crouse,Corporate,1,1,1,3,Low-Value
AC-10450,12,7,5527.846,Amy Cox,Consumer,5,3,5,13,Top Customers
AC-10615,7,5,2537.6859999999997,Ann Chong,Corporate,5,2,3,10,High-Value
AC-10660,283,5,657.316,Anna Chung,Consumer,1,2,1,4,Low-Value
AD-10180,30,8,6106.88,Alan Dominguez,Home Office,4,4,5,13,Top Customers
AF-10870,42,7,2052.908,Art Ferguson,Consumer,4,3,3,10,High-Value
AF-10885,416,4,861.565,Art Foster,Consumer,1,1,1,3,Low-Value
AG-10270,279,5,2582.898,Alejandro Grove,Consumer,1,2,3,6,Mid-Value
AG-10300,119,4,367.548,Aleksandra Gannaway,Corporate,2,1,1,4,Low-Value
AG-10330,9,5,660.972,Alex Grayson,Consumer,5,2,1,8,Mid-Value
AG-10390,115,5,200.945,Allen Goldenen,Consumer,2,2,1,5,Low-Value
AG-10495,79,8,2356.855,Andrew Gjertsen,Corporate,3,4,3,10,High-Value
AG-10525,846,4,1455.038,Andy Gerbode,Corporate,1,1,2,4,Low-Value
AG-10675,98,7,3489.0396000000005,Anna Gayman,Consumer,3,3,4,10,High-Value
AG-10765,78,4,170.584,Anthony Garverick,Home Office,3,1,1,5,Low-Value
AG-10900,97,10,4510.797,Arthur Gainer,Consumer,3,5,5,13,Top Customers
AH-10030,13,7,1744.7,Aaron Hawkins,Corporate,5,3,3,11,High-Value
AH-10075,35,10,3250.337,Adam Hart,Corporate,4,5,4,13,Top Customers
AH-10120,61,7,1735.5140000000001,Adrian Hane,Home Office,3,3,2,8,Mid-Value
AH-10195,56,4,1587.452,Alan Haines,Corporate,3,1,2,6,Mid-Value
AH-10210,7,9,4805.344,Alan Hwang,Consumer,5,5,5,15,Top Customers
AH-10465,231,5,2495.3916,Amy Hunt,Consumer,1,2,3,6,Mid-Value
AH-10585,22,4,738.504,Angele Hood,Consumer,5,1,1,7,Mid-Value
AH-10690,411,12,7888.294,Anna Häberlin,Corporate,1,5,5,11,High-Value
AI-10855,14,10,4375.786,Arianne Irving,Consumer,5,5,5,15,Top Customers
AJ-10780,76,7,4867.344,Anthony Jacobs,Corporate,3,3,5,11,High-Value
AJ-10795,167,7,4501.391,Anthony Johnson,Corporate,2,3,5,10,High-Value
AJ-10945,86,7,1839.24,Ashley Jarboe,Consumer,3,3,3,9,Mid-Value
